QUESTIONS,ANSWERS
VERSION OF CHATBOT?,The version of this chatbot is OCT. 6 2025
"What is the Center for Career and Professional Development?

What is the career office for?

Can you help me find a job or internship?","The Center for Career and Professional Development provides comprehensive services and resources to assist with researching careers, finding job opportunities, preparing for graduate school, improving resume writing and interviewing skills, and landing appropriate internships for career advancement.
"
"Where is the career office located?

Where can I find your office?

Where can I find you?

Where is your office located?
","The career office is located on the main campus at:
2039 Kennedy Blvd
Jersey City, NJ 07305
GSUB 124

There is also an office at the School of Business:
200 Hudson St
Jersey City, NJ 07302
Room 104
"
"What are the office hours?

What time do you open and close?

Do you work on weekends?

When can I come to your office?","Our office hours are Monday to Friday, 8:30 AM to 4:30 PM. 
We also follow the public holiday calendar, so the office is closed on those days."
"Is there a chance for me to meet an advisor?

Can I meet an advisor in person, or only online?

How can I meet you?

How can I see a member of your staff?

How can I meet a member of your team?","You can meet an advisor either online or in person. 
Booking an appointment is simple just use Handshake by following this link:

https://njcu.joinhandshake.com/stu/appointments/new"
"How can I make an appointment with you?

How do I book an appointment with a career advisor?

How can I meet you?","You can easily make an appointment with our office by scheduling through Handshake platform  by following this link:

https://njcu.joinhandshake.com/stu/appointments/new
"
"What if all the slots are full?

What if you don't have availability to meet?","When you make a direct appointment, you can select any available advisor from our schedule. In Handshake, you will be able to access the advisor's calendar to see where there are openings. We can meet either in-person or virtually. For our classes, workshops, and events, we always ensure there is enough space for all participants. "
"Is the career office free for all students?

Do I have to pay anything?

Are there any costs?

How much does it cost?","Yes, the career office is free for all students."
"How many times can I book an appointment per semester?

How many appointments can I have?

How many times can I participate in a class, event, or workshop?","There is no limit to the number of appointments you can book. You can schedule through Handshake and cancel if you are unable to attend.
"
"Who are the contacts for this office?

Who should I contact?

Who is in charge?

Is there someone I can talk to?","Melissa Faulkner
Director of the Center for Career and 
Professional Development
GSUB 124
201-200-3005
mfaulkner1@njcu.edu

Sarah Marsiglia
Assistant Director, Center for Career and Professional Development
GSUB 124
201-200-3331
smcgough@njcu.edu

Andrea Tider
Career Readiness Manager, School of Business
School of Business 104
201-200-3322
atider@njcu.edu

"
"Can I drop in without an appointment?

Can I just come in person?

Is it possible to see you while I am on campus?

Can I meet you in person?
","You can walk in, but it is preferable to make an appointment, since our team may already be scheduled for other appointments, events, or workshops.
"
"What can I do with this major?

What positions can I start looking for?

What job can I do once I have my degree?

Which majors are connected to my career options?

How can I learn more about different industries?

I don't know what I want to do after graduation. Can you help me figure it out?

What job can I start looking for?

","There are several resources available to help students explore career options:

What Can I Do With This Major?
By selecting or entering your major, the system suggests possible career paths and job opportunities.
https://whatcanidowiththismajor.com

Occupational Outlook Handbook
Provides detailed career information, including job descriptions, earnings, working conditions, required skills, and related websites.
https://www.bls.gov/ooh/

OneWire (for Finance and Accounting majors)
Offers job and career information specifically for students in finance and accounting.
https://www.onewire.com
"
"How can I build a resume?

How can I create a CV and a cover letter?

I need to polish and reshape my CV/resume. How can I do it?

I don't know how to create a resume. Can you help me?
","There are several ways to build a resume. We can help you improve your current one or create a new one from scratch. You can book an appointment with our office either virtual or in person, for personalized support, or attend one of our workshops or lectures. 
To schedule an appointment, please use  Handshake platform, or check Handshake for upcoming events.
You can easily make an appointment with our office by scheduling through Handshake platform  by following this link:

https://njcu.joinhandshake.com/stu/appointments/new"
"Can someone review my resume before I apply for jobs?

Can you look at my resume/cover letter?

Can I show you my resume/cover letter?
","Of course. We recommend scheduling an appointment with one of our team members through Handshake, and we will be happy to address all your questions.
You can easily make an appointment with our office by scheduling through Handshake platform  by following this link:

https://njcu.joinhandshake.com/stu/appointments/new"
"How quickly will I get feedback on my resume?

When will you let me know?
","Based on our workload and schedule, we'll offer the earliest available appointment and give you the needed help.
"
